Sample #,Best Accuracy,Best SVM Parameters
S1,0.987037037037037,"{'Kernel': 'rbf', 'C': 1.0, 'Gamma': 'auto'}"
S2,0.9796296296296296,"{'Kernel': 'linear', 'C': 0.21544346900318834, 'Gamma': 'scale'}"
S3,0.9888888888888889,"{'Kernel': 'poly', 'C': 10.0, 'Gamma': 'auto'}"
S4,0.9925925925925926,"{'Kernel': 'poly', 'C': 10.0, 'Gamma': 'auto'}"
S5,0.9851851851851852,"{'Kernel': 'poly', 'C': 100.0, 'Gamma': 'scale'}"
S6,0.9851851851851852,"{'Kernel': 'poly', 'C': 46.41588833612777, 'Gamma': 'auto'}"
S7,0.9888888888888889,"{'Kernel': 'rbf', 'C': 2.1544346900318834, 'Gamma': 'scale'}"
S8,0.987037037037037,"{'Kernel': 'poly', 'C': 10.0, 'Gamma': 'auto'}"
S9,0.9851851851851852,"{'Kernel': 'poly', 'C': 4.6415888336127775, 'Gamma': 'auto'}"
S10,0.9888888888888889,"{'Kernel': 'poly', 'C': 10.0, 'Gamma': 'scale'}"
